카페ID,카페이름,방문자리뷰,블로그리뷰,주소
1158712347,우드베어 망원점,54,4,서울 마포구 월드컵로31길 56
1089102577,"그래,좋아",1,1,"서울 마포구 방울내로 44 1층 그래,좋아"
1985146311,카페 꽃길 정류장,13,1,서울 마포구 방울내로9안길 72 1층 101호
1105719467,댐댐케이크,6,1,서울 마포구 월드컵로25길 68 1층
N/A,퐁치 커피익스프레스 망원점,6,1,서울 마포구 망원로 72 1층
1930719050,와우살롱,4,110,서울 서대문구 거북골로 45 지하와우점핑다이어트
1034392858,장롱마카롱,1,1,서울 마포구 희우정로 104
37463738,올라 카페,93,227,서울 마포구 월드컵로13길 23 2층
20420898,카페지스타,26,4,서울 마포구 월드컵로25길 7 1층 카페지스타
1484942101,호두사랑,5,2,서울 마포구 방울내로7길 18
1456998772,여니우기,2,2,서울 마포구 월드컵로13길 19-23 1층
1339075495,레스트,14,4,경기 파주시 경의로 1046 이더펠리체 201호 노브랜드버거 건물
1965851901,망원동미쓰리,34,8,서울 마포구 방울내로 66
1657286219,카페리 마포구민체육센터점,322,2,서울 마포구 월드컵로25길 190 1층
1202428527,해비치스터디카페,31,31,서울 마포구 월드컵로25길 26
1972958644,Cafe Miei,7,6,서울 마포구 월드컵로19길 42
1299421546,와아,316,14,서울 성동구 상원2길 1-10 3층
1053160252,침묵을깨다,182,201,서울 성동구 아차산로11길 26 2층
1217287130,차일디쉬,270,327,서울 성동구 연무장길 114 2층 차일디쉬
1022429915,자연도소금빵in 성수,746,790,서울 성동구 연무장길 56-1 1층
1353954221,한정선,132,135,서울 성동구 연무장길 54-1 1층
1407454916,치즈인더스트리 성수,139,130,서울 성동구 성수이로18길 37 1층
1339900302,츄로101 성수점,67,77,서울 성동구 성덕정길 70 1층
1724311124,모리노키세츠,53,44,서울 성동구 서울숲2길 11-16 2층
1194510469,하이라인,525,4858,서울 성동구 성덕정9길 10 2층 오른쪽문
1833313793,오우드 성수1호점,1532,4858,서울 성동구 연무장길 101-1
365858525,베통 성수,3552,4858,서울 성동구 연무장7가길 8
37471718,파머스카페,1561,4858,서울 성동구 왕십리로6길 11 1층
1020816080,브레디포스트 성수,2002,2293,서울 성동구 상원1길 5 1층
1734893193,웜브라운,109,100,서울 성동구 연무장길 16-2 1층 WARM BRAUN
1468687611,니커버커베이글 성수지점,33,79,서울 성동구 뚝섬로13길 36 1층~3층
